radius (m),mass (kg),gravity,atmosphere,oxygene,avg_temp (C),water,rotational_period (h),life
8808000.0,1.573901630924409e+25,1.38,YES,YES,94.2,YES,25.2,YES
11838000.0,3.8206899522210686e+25,1.85,YES,YES,25.6,NO,16.2,NO
12612000.0,4.618990544607683e+25,1.98,YES,YES,-18.9,NO,32.6,NO
7646000.0,1.0289045296209158e+25,1.2,NO,NO,51.1,NO,41.8,NO
4238000.0,1.75268227783016e+24,0.66,NO,NO,78.0,NO,39.4,NO
3393000.0,8.99447262902732e+23,0.53,NO,NO,65.9,NO,27.3,NO
9301000.0,1.8532762821301324e+25,1.46,YES,YES,65.9,NO,53.5,NO
285000.0,5.3306519639083365e+20,0.04,NO,NO,65.1,NO,37.2,NO
19181000.0,1.6247960546118968e+26,3.0,YES,YES,67.9,YES,32.3,YES
8620000.0,1.4752426149276273e+25,1.35,YES,YES,56.5,NO,43.0,NO
6189000.0,5.45638986987414e+24,0.97,NO,NO,87.0,NO,29.1,NO
10697000.0,2.8189474065711986e+25,1.68,NO,NO,39.6,NO,28.9,NO
9948000.0,2.2670171411827735e+25,1.56,YES,YES,93.7,YES,58.4,YES
6613000.0,6.658407048515448e+24,1.04,NO,NO,63.8,NO,25.9,NO
10515000.0,2.6766843092216475e+25,1.65,YES,YES,20.0,NO,27.3,NO
9974000.0,2.2839017264855134e+25,1.56,YES,YES,65.6,NO,22.8,NO
11882000.0,3.8632594900015285e+25,1.86,YES,YES,34.1,NO,29.0,NO
9091000.0,1.729988412689233e+25,1.42,YES,YES,83.4,NO,35.8,YES
10728000.0,2.8426979766949e+25,1.68,YES,YES,43.4,NO,30.3,NO
8790000.0,1.5641306836744614e+25,1.38,YES,YES,52.6,NO,15.2,YES
10936000.0,3.011530365978601e+25,1.71,YES,YES,22.6,NO,25.4,NO
7183000.0,8.530410198632164e+24,1.12,YES,YES,29.4,NO,46.5,NO
14218000.0,6.6179029476140555e+25,2.23,YES,YES,80.5,NO,17.3,NO
11135000.0,3.1781976868650397e+25,1.74,YES,YES,21.9,NO,22.2,NO
8488000.0,1.4080705397352598e+25,1.33,YES,YES,87.6,NO,45.7,NO
11400000.0,3.41100424448475e+25,1.79,NO,NO,58.1,NO,51.0,NO
11033000.0,3.091839815480515e+25,1.73,NO,NO,79.2,NO,33.7,NO
6149000.0,5.353185305005115e+24,0.96,NO,NO,13.0,NO,40.8,NO
8829000.0,1.5844716914879644e+25,1.38,NO,NO,8.9,NO,29.7,NO
10079000.0,2.3581074832741777e+25,1.58,NO,NO,68.0,NO,28.0,NO
10569000.0,2.719010990950364e+25,1.66,YES,NO,70.2,YES,31.9,NO
6258000.0,5.643614615768473e+24,0.98,NO,NO,10.9,NO,31.8,NO
7245000.0,8.756740294695724e+24,1.13,NO,NO,56.1,NO,17.2,NO
7248000.0,8.769189210963196e+24,1.14,YES,YES,49.4,NO,41.6,NO
8978000.0,1.6664823283295102e+25,1.41,NO,NO,15.4,NO,24.0,NO
3171000.0,7.34091161326077e+23,0.5,YES,YES,91.6,NO,40.6,NO
8339000.0,1.3349877718739483e+25,1.31,NO,NO,42.0,NO,30.4,NO
4288000.0,1.815393323671327e+24,0.67,NO,NO,55.7,NO,57.8,NO
8441000.0,1.3851826860937072e+25,1.32,YES,YES,55.2,YES,28.5,YES
9799000.0,2.166940050397041e+25,1.54,YES,YES,45.8,NO,44.7,NO
7173000.0,8.498759695904563e+24,1.12,YES,YES,34.7,NO,29.7,NO
5758000.0,4.395324839063413e+24,0.9,NO,NO,25.2,NO,31.3,NO
13709000.0,5.932144474868135e+25,2.15,YES,YES,54.5,NO,43.5,NO
8725000.0,1.5294031941362527e+25,1.37,NO,NO,44.3,NO,43.9,NO
6309000.0,5.782403182101372e+24,0.99,YES,YES,52.5,YES,42.9,YES
12400000.0,4.390886884688564e+25,1.94,YES,YES,104.9,NO,22.6,NO
14166000.0,6.547279934537023e+25,2.22,NO,NO,35.3,NO,28.8,NO
10828000.0,2.9241095106938274e+25,1.7,YES,YES,52.4,NO,34.8,NO
10771000.0,2.877266828629921e+25,1.69,NO,NO,8.2,NO,30.7,NO
7095000.0,8.224717544893786e+24,1.11,NO,NO,114.5,NO,20.4,NO
14589000.0,7.15108462881366e+25,2.29,YES,YES,139.0,NO,44.5,NO
6391000.0,6.01289870588092e+24,1.0,NO,NO,50.2,NO,40.0,NO
6646000.0,6.760781127694344e+24,1.04,YES,YES,-18.8,YES,19.3,NO
7777000.0,1.082965865162308e+25,1.22,NO,NO,-7.7,NO,38.7,NO
12159000.0,4.139810041737444e+25,1.9,YES,YES,25.2,YES,42.5,YES
7085000.0,8.190797045088774e+24,1.11,NO,NO,62.8,NO,11.7,NO
15826000.0,9.127590025422005e+25,2.48,YES,YES,13.2,NO,41.3,NO
14452000.0,6.95236533921707e+25,2.26,YES,YES,47.3,NO,43.6,NO
8813000.0,1.5761907490253832e+25,1.38,NO,NO,84.2,NO,31.6,NO
9754000.0,2.1369014816671263e+25,1.53,YES,YES,109.4,NO,42.6,NO
9249000.0,1.8215576829123046e+25,1.45,YES,NO,52.1,NO,33.5,NO
10087000.0,2.363301791795004e+25,1.58,YES,YES,80.4,YES,43.7,YES
8745000.0,1.5399545627991696e+25,1.37,YES,YES,84.7,YES,16.2,YES
11651000.0,3.641381450215866e+25,1.82,NO,NO,41.6,NO,29.1,NO
3024000.0,6.366881337607006e+23,0.47,NO,NO,70.2,NO,30.1,NO
8820000.0,1.5798058053065932e+25,1.38,NO,NO,53.8,NO,37.7,NO
6651000.0,6.773667341444724e+24,1.04,NO,NO,53.5,NO,19.4,NO
4159000.0,1.6569497216172665e+24,0.65,NO,NO,66.3,NO,35.4,NO
3609000.0,1.0823343313766843e+24,0.57,YES,YES,-39.4,NO,46.1,NO
8083000.0,1.216264156775921e+25,1.27,YES,YES,8.4,NO,27.1,NO
11010000.0,3.073614830193188e+25,1.72,NO,NO,38.6,NO,29.8,NO
13209000.0,5.305400648791263e+25,2.07,YES,YES,75.3,NO,28.6,NO
6214000.0,5.526404878021955e+24,0.97,NO,NO,69.6,NO,21.6,NO
9824000.0,2.183511124547973e+25,1.54,NO,NO,79.3,NO,35.2,NO
4410000.0,1.9751008028270024e+24,0.69,YES,YES,87.7,YES,28.9,YES
12458000.0,4.450870544726077e+25,1.95,YES,NO,-54.6,YES,31.2,NO
6290000.0,5.730253854492262e+24,0.99,NO,NO,37.0,NO,7.9,NO
9557000.0,2.0092193563524368e+25,1.5,YES,NO,54.2,NO,27.0,NO
9616000.0,2.047494811411578e+25,1.51,YES,YES,73.9,NO,34.4,NO
10440000.0,2.6198359098197077e+25,1.64,NO,NO,68.5,NO,41.6,NO
12432000.0,4.424744563412596e+25,1.95,YES,YES,44.5,NO,19.2,NO
7169000.0,8.483522966982893e+24,1.12,YES,NO,82.5,NO,44.6,NO
9850000.0,2.200632432412264e+25,1.54,YES,YES,11.0,YES,18.6,YES
13296000.0,5.412873458013834e+25,2.08,YES,YES,60.6,NO,17.3,NO
7764000.0,1.0776019864095279e+25,1.22,NO,NO,56.3,NO,25.0,NO
18652000.0,1.494627287066011e+26,2.92,YES,YES,52.4,YES,22.3,YES
5655000.0,4.1643554573146556e+24,0.89,NO,NO,93.9,YES,35.4,YES
7025000.0,7.981472955763638e+24,1.1,NO,NO,36.4,NO,37.1,NO
10121000.0,2.387687766498613e+25,1.59,NO,NO,96.8,NO,41.5,NO
5615000.0,4.075202607222207e+24,0.88,NO,NO,45.8,NO,45.7,NO
8555000.0,1.4414538734645467e+25,1.34,NO,NO,100.2,NO,28.0,NO
5452000.0,3.731857331140967e+24,0.85,NO,NO,22.8,NO,48.9,NO
6871000.0,7.471978023028521e+24,1.08,NO,NO,49.0,NO,38.1,NO
720000.0,8.594931491715159e+21,0.11,NO,NO,56.2,NO,32.8,NO
9849000.0,2.200488265564957e+25,1.54,YES,YES,48.8,YES,46.8,NO
12263000.0,4.24837752411148e+25,1.92,YES,YES,89.9,NO,25.9,NO
9322000.0,1.8653179703529422e+25,1.46,YES,YES,68.9,YES,25.4,YES
8375000.0,1.3529496921212597e+25,1.31,NO,NO,92.4,NO,32.3,NO
7000000.0,7.898375211880058e+24,1.1,NO,NO,32.2,NO,16.0,NO
7035000.0,8.01738783260499e+24,1.1,NO,NO,82.7,NO,29.5,NO
13303000.0,5.4195031850384765e+25,2.08,YES,YES,86.5,YES,14.4,YES
7942000.0,1.153221821963901e+25,1.24,NO,NO,18.9,NO,32.2,NO
5950000.0,4.849727842017047e+24,0.93,YES,YES,17.3,NO,37.0,YES
10841000.0,2.933942509238174e+25,1.7,YES,YES,17.8,YES,23.0,YES
8453000.0,1.3910725130866564e+25,1.32,YES,YES,59.6,NO,47.7,NO
9942000.0,2.2625782669559848e+25,1.56,YES,NO,33.5,NO,17.7,NO
11636000.0,3.6277589441134774e+25,1.82,YES,YES,31.3,NO,50.3,NO
7719000.0,1.0590723065496518e+25,1.21,YES,YES,68.6,NO,39.1,YES
11761000.0,3.744869037737005e+25,1.84,NO,NO,30.5,NO,37.3,NO
12114000.0,4.094238493876397e+25,1.9,YES,YES,116.5,NO,39.8,NO
10351000.0,2.55454349541865e+25,1.62,NO,NO,48.7,NO,22.0,NO
15183000.0,8.057450325961271e+25,2.38,YES,YES,88.2,NO,54.2,NO
10322000.0,2.5330294665674417e+25,1.62,NO,NO,48.0,YES,39.4,NO
4034000.0,1.5123676821090741e+24,0.63,NO,NO,41.2,NO,54.3,NO
13905000.0,6.1923528809589815e+25,2.18,YES,YES,24.0,NO,42.4,NO
11218000.0,3.250251281542309e+25,1.76,NO,NO,46.0,NO,21.7,NO
5830000.0,4.5627990549062437e+24,0.91,YES,YES,73.4,YES,28.6,NO
9502000.0,1.9756305694666937e+25,1.49,YES,YES,43.5,NO,19.6,NO
12424000.0,4.415099496235265e+25,1.95,NO,NO,79.5,NO,36.9,NO
5183000.0,3.2050408860322774e+24,0.81,NO,NO,31.8,NO,28.3,NO
8080000.0,1.214472792733007e+25,1.27,NO,NO,53.7,NO,29.9,NO
14302000.0,6.734216170400044e+25,2.24,YES,YES,105.5,NO,39.2,NO
6637000.0,6.733333529225884e+24,1.04,NO,NO,70.6,NO,33.6,NO
11358000.0,3.374668024297873e+25,1.78,NO,NO,99.4,NO,31.9,NO
7884000.0,1.128505167913356e+25,1.23,NO,NO,38.0,NO,24.2,NO
12034000.0,4.0120529745373035e+25,1.88,NO,NO,66.6,NO,17.3,NO
9845000.0,2.197627582815067e+25,1.54,YES,YES,66.2,NO,26.4,NO
7535000.0,9.85034024371018e+24,1.18,NO,NO,81.9,NO,29.5,NO
9768000.0,2.145477716856515e+25,1.53,YES,YES,47.1,YES,23.7,YES
9238000.0,1.8157405828748312e+25,1.45,YES,YES,36.1,NO,26.8,NO
12947000.0,4.997577807518849e+25,2.03,YES,YES,60.4,NO,57.5,NO
9231000.0,1.8106714050249591e+25,1.45,YES,YES,113.7,NO,46.8,NO
5915000.0,4.7652596614429267e+24,0.93,NO,NO,65.9,NO,36.4,NO
5579000.0,3.9977957637395613e+24,0.87,YES,YES,42.4,NO,19.9,NO
11187000.0,3.2235902043236064e+25,1.75,YES,YES,-29.6,NO,35.9,YES
6618000.0,6.673686931609708e+24,1.04,YES,YES,40.6,NO,28.0,NO
9994000.0,2.297795764997166e+25,1.56,YES,YES,68.1,NO,29.1,NO
13530000.0,5.703515600027145e+25,2.12,NO,NO,11.5,NO,31.3,NO
4737000.0,2.4478833904692595e+24,0.74,NO,NO,40.0,NO,50.9,NO
6655000.0,6.789025856973485e+24,1.04,NO,NO,44.5,NO,30.1,NO
7630000.0,1.0228258105592307e+25,1.2,NO,NO,20.3,NO,35.1,NO
10103000.0,2.374545340043714e+25,1.58,YES,YES,65.6,YES,19.7,NO
4451000.0,2.0300502494859756e+24,0.7,NO,NO,17.0,NO,43.2,NO
9617000.0,2.0480121350985126e+25,1.51,YES,YES,8.8,YES,27.7,NO
10164000.0,2.4175753632588563e+25,1.59,NO,NO,50.3,NO,19.4,NO
5003000.0,2.882647197840764e+24,0.78,YES,YES,27.5,NO,31.7,NO
13119000.0,5.198270929720809e+25,2.05,YES,YES,-4.8,NO,22.3,NO
3768000.0,1.2317880668535655e+24,0.59,NO,NO,37.5,NO,22.3,NO
3887000.0,1.3521742090608348e+24,0.61,YES,NO,30.7,NO,35.4,NO
11945000.0,3.925014203023426e+25,1.87,NO,NO,60.5,NO,32.7,NO
7380000.0,9.255672703609227e+24,1.16,NO,NO,56.1,NO,24.7,NO
11175000.0,3.212815331080966e+25,1.75,YES,YES,15.2,YES,21.9,YES
8979000.0,1.6669328829315595e+25,1.41,NO,NO,91.7,NO,44.5,NO
8256000.0,1.2955365040608913e+25,1.29,YES,YES,52.8,NO,21.9,NO
3936000.0,1.403992419053005e+24,0.62,NO,NO,81.6,NO,22.4,NO
6005000.0,4.986046566695448e+24,0.94,NO,NO,104.2,NO,32.6,NO
14538000.0,7.077543029480185e+25,2.28,YES,YES,103.9,NO,32.0,NO
12473000.0,4.469146762661558e+25,1.95,YES,YES,18.4,NO,30.9,YES
9681000.0,2.089437428995248e+25,1.52,NO,NO,70.9,NO,36.2,NO
10380000.0,2.5744868105144496e+25,1.63,NO,NO,58.8,NO,22.1,NO
5823000.0,4.546528008248606e+24,0.91,NO,NO,88.6,NO,35.7,NO
8106000.0,1.226209005496923e+25,1.27,YES,YES,61.7,NO,29.7,NO
10491000.0,2.658948305420177e+25,1.64,NO,NO,77.4,YES,18.0,YES
587000.0,4.6582858068848783e+21,0.09,NO,NO,22.0,NO,28.4,NO
8810000.0,1.574361256386371e+25,1.38,YES,YES,65.0,NO,10.6,NO
11436000.0,3.4445156638443687e+25,1.79,NO,NO,40.4,NO,32.1,NO
4628000.0,2.2825664185602862e+24,0.72,NO,NO,-6.1,NO,37.9,NO
8094000.0,1.2212317865919725e+25,1.27,NO,NO,78.7,NO,18.8,NO
5792000.0,4.4739450732133933e+24,0.91,NO,NO,75.5,NO,49.3,NO
13027000.0,5.090616459500674e+25,2.04,NO,NO,59.0,NO,52.2,NO
14305000.0,6.739540505850297e+25,2.24,NO,NO,54.0,NO,32.7,NO
15352000.0,8.331104541219644e+25,2.4,YES,YES,41.8,YES,33.3,YES
14157000.0,6.533219107411346e+25,2.22,YES,YES,40.6,NO,29.5,NO
6845000.0,7.386752046678558e+24,1.07,YES,YES,23.8,NO,30.8,NO
10990000.0,3.0560588612443343e+25,1.72,YES,YES,47.2,NO,42.4,NO
9023000.0,1.6914703336028051e+25,1.41,NO,NO,66.9,NO,31.9,NO
10393000.0,2.5858331862336927e+25,1.63,NO,NO,40.9,NO,18.2,NO
12592000.0,4.596042620227937e+25,1.97,YES,YES,44.9,NO,30.3,NO
8907000.0,1.6271909891287926e+25,1.4,YES,YES,-13.2,YES,25.0,NO
12051000.0,4.029420429419915e+25,1.89,YES,YES,41.8,NO,12.4,YES
7123000.0,8.320683242668079e+24,1.12,NO,NO,4.8,NO,23.1,NO
12547000.0,4.547306754004665e+25,1.96,NO,NO,49.1,NO,24.9,NO
10872000.0,2.959067742190187e+25,1.7,YES,YES,6.5,NO,31.6,NO
8568000.0,1.448531026383118e+25,1.34,YES,YES,46.1,NO,36.5,NO
6176000.0,5.424126069872209e+24,0.97,NO,NO,15.7,NO,32.9,NO
8888000.0,1.6167875018519266e+25,1.39,NO,NO,32.2,NO,40.1,NO
8840000.0,1.5907816426827802e+25,1.38,NO,NO,38.3,NO,25.6,NO
12431000.0,4.423518558545434e+25,1.95,YES,NO,52.4,NO,54.4,NO
14002000.0,6.32040474395653e+25,2.19,YES,YES,36.5,NO,39.0,NO
5745000.0,4.365831776714447e+24,0.9,NO,NO,18.4,NO,46.2,NO
8723000.0,1.5280137757075092e+25,1.37,NO,NO,56.4,NO,22.6,NO
11365000.0,3.380276113009186e+25,1.78,NO,NO,69.9,NO,35.7,NO
6827000.0,7.326412331638038e+24,1.07,NO,NO,41.5,NO,43.8,NO
13692000.0,5.910713872333388e+25,2.14,NO,NO,67.1,NO,11.7,NO
14033000.0,6.362131992535407e+25,2.2,YES,YES,35.8,YES,33.7,YES
6693000.0,6.904248580037372e+24,1.05,NO,NO,85.2,NO,33.1,NO
5490000.0,3.8110968927535866e+24,0.86,NO,NO,18.8,NO,32.6,NO
3368000.0,8.795442347877815e+23,0.53,NO,NO,27.6,NO,34.6,NO
3598000.0,1.072628764981358e+24,0.56,YES,YES,31.7,NO,27.1,NO
7959000.0,1.161214455490766e+25,1.25,NO,NO,56.5,NO,11.3,NO
8598000.0,1.4637728808627236e+25,1.35,YES,YES,106.6,NO,46.2,NO
10044000.0,2.3329432745983987e+25,1.57,NO,NO,-0.4,NO,21.9,NO
10286000.0,2.5052933502654076e+25,1.61,YES,YES,66.5,NO,33.7,NO
4458000.0,2.0398496140356093e+24,0.7,NO,NO,20.3,NO,16.1,NO
9307000.0,1.8563740971489322e+25,1.46,YES,NO,110.4,NO,28.2,NO
12313000.0,4.298733622818014e+25,1.93,NO,NO,25.1,NO,29.2,NO
10573000.0,2.7214108952221846e+25,1.66,NO,NO,41.9,NO,31.5,NO
5815000.0,4.5274035635002914e+24,0.91,NO,NO,17.8,NO,17.1,NO
7843000.0,1.1109095793029707e+25,1.23,YES,YES,39.8,NO,39.4,NO
10720000.0,2.837073797983788e+25,1.68,YES,NO,-7.5,YES,30.6,YES
13515000.0,5.68360547172729e+25,2.12,YES,YES,28.0,NO,40.2,NO
8241000.0,1.2891016359539017e+25,1.29,NO,NO,41.9,NO,26.1,NO
7901000.0,1.1357503526316402e+25,1.24,YES,YES,43.9,NO,40.1,NO
11009000.0,3.0732583350321277e+25,1.72,NO,NO,22.5,NO,24.8,NO
8632000.0,1.4807638179329272e+25,1.35,NO,NO,16.3,NO,22.4,NO
8425000.0,1.3766628830029115e+25,1.32,NO,NO,52.3,NO,16.2,NO
9230000.0,1.8102995760904261e+25,1.45,NO,NO,124.3,NO,49.0,NO
9233000.0,1.8125666215561752e+25,1.45,YES,YES,70.9,NO,40.8,NO
5155000.0,3.1540669479537173e+24,0.81,YES,YES,49.7,NO,26.4,NO
6704000.0,6.938386317910843e+24,1.05,NO,NO,79.0,NO,29.8,NO
11517000.0,3.517558180352811e+25,1.8,YES,NO,70.2,YES,37.6,NO
6161000.0,5.385756611597551e+24,0.97,YES,YES,32.6,NO,41.9,NO
8866000.0,1.605089866714448e+25,1.39,YES,YES,33.6,NO,37.4,NO
9145000.0,1.7617454079126526e+25,1.43,YES,YES,7.5,YES,42.4,NO
14397000.0,6.8734952450819354e+25,2.26,NO,NO,62.3,NO,34.1,NO
8564000.0,1.446285439704402e+25,1.34,NO,NO,-9.5,NO,31.2,NO
9169000.0,1.7751534384526603e+25,1.44,NO,NO,43.8,NO,48.4,NO
8835000.0,1.5876452141280738e+25,1.38,YES,NO,51.1,YES,28.5,NO
8843000.0,1.5928485088572744e+25,1.39,NO,NO,63.6,NO,17.4,NO
7601000.0,1.0111024782005408e+25,1.19,NO,NO,41.5,NO,32.0,NO
7197000.0,8.582725624240047e+24,1.13,YES,YES,33.7,NO,38.0,NO
8973000.0,1.6633522235018829e+25,1.41,NO,NO,-3.5,NO,37.3,NO
4456000.0,2.0372391342725846e+24,0.7,NO,NO,31.4,NO,28.6,NO
8091000.0,1.2200591618704956e+25,1.27,NO,NO,30.1,NO,51.0,NO
11956000.0,3.936253111658121e+25,1.87,NO,NO,57.8,NO,30.5,NO
9229000.0,1.8095220635660993e+25,1.45,NO,NO,-9.2,NO,27.4,NO
7504000.0,9.730083460906447e+24,1.18,YES,YES,22.5,NO,38.8,NO
3661000.0,1.1298798926821501e+24,0.57,YES,YES,71.9,NO,44.6,NO
5792000.0,4.473480567877897e+24,0.91,NO,NO,4.0,NO,36.4,NO
4395000.0,1.9544410652656692e+24,0.69,YES,YES,55.9,NO,24.1,NO
7955000.0,1.1591425203382164e+25,1.25,NO,NO,76.4,NO,38.9,NO
6538000.0,6.436820661631649e+24,1.02,YES,YES,36.5,YES,39.5,YES
7526000.0,9.814829074121615e+24,1.18,NO,NO,32.3,NO,54.1,NO
11503000.0,3.5046538938748924e+25,1.8,YES,YES,31.1,YES,39.4,YES
10318000.0,2.529532030515812e+25,1.62,YES,YES,73.5,NO,18.3,NO
10594000.0,2.737410866639627e+25,1.66,NO,NO,-5.5,NO,29.9,NO
14248000.0,6.660269526753318e+25,2.23,NO,NO,49.4,NO,36.4,NO
10950000.0,3.0230336895919077e+25,1.72,YES,YES,49.0,NO,38.6,NO
8225000.0,1.28109188671788e+25,1.29,NO,NO,44.8,NO,26.5,NO
5646000.0,4.14373379873314e+24,0.88,NO,NO,20.4,NO,27.6,NO
10733000.0,2.847515779416517e+25,1.68,NO,NO,48.3,NO,24.0,NO
7785000.0,1.0861926097869967e+25,1.22,NO,NO,89.2,NO,47.5,NO
4993000.0,2.866136117422186e+24,0.78,NO,NO,75.8,NO,38.7,NO
11726000.0,3.713394871505164e+25,1.84,NO,NO,7.1,NO,37.5,NO
8493000.0,1.410682230611305e+25,1.33,NO,NO,99.2,NO,42.4,NO
14576000.0,7.12839572791438e+25,2.28,YES,NO,79.2,NO,47.9,NO
10608000.0,2.749498998370444e+25,1.66,YES,YES,0.8,YES,34.8,YES
8137000.0,1.240677020265689e+25,1.27,YES,YES,38.0,NO,30.5,YES
10125000.0,2.3902302203828727e+25,1.59,NO,NO,125.4,NO,46.3,NO
2581000.0,3.958194243605509e+23,0.4,NO,NO,52.5,NO,39.3,NO
7144000.0,8.394909083228084e+24,1.12,NO,NO,45.8,NO,32.2,NO
8924000.0,1.6367308752220486e+25,1.4,YES,YES,53.4,NO,20.0,YES
5660000.0,4.17547954157299e+24,0.89,YES,YES,56.3,NO,17.5,NO
10699000.0,2.820909552750914e+25,1.68,NO,NO,81.1,NO,36.8,NO
322000.0,7.685266650615465e+20,0.05,NO,NO,82.1,NO,45.9,NO
13488000.0,5.648628635796891e+25,2.11,YES,YES,22.0,NO,45.3,YES
6039000.0,5.070808254565998e+24,0.95,NO,NO,27.9,NO,24.9,NO
11936000.0,3.916442740941434e+25,1.87,YES,YES,43.7,NO,30.3,YES
3522000.0,1.0060383881716216e+24,0.55,NO,NO,38.4,NO,29.1,NO
4723000.0,2.425353946407327e+24,0.74,NO,NO,85.3,NO,28.7,NO
6921000.0,7.630753878062657e+24,1.08,YES,YES,23.8,NO,26.4,NO
10794000.0,2.8957781326372076e+25,1.69,NO,NO,127.3,NO,36.6,NO
7648000.0,1.0300104642997936e+25,1.2,YES,NO,57.1,YES,23.8,NO
9129000.0,1.751602447220467e+25,1.43,NO,NO,67.0,NO,25.6,NO
5835000.0,4.57523907639241e+24,0.91,NO,NO,86.0,NO,34.7,NO
8829000.0,1.5848621931430553e+25,1.38,NO,NO,62.6,NO,20.4,NO
12663000.0,4.6752250394532155e+25,1.98,YES,YES,-18.1,NO,28.4,NO
8170000.0,1.255821187320923e+25,1.28,NO,NO,-4.6,NO,28.5,NO
13099000.0,5.176127211887828e+25,2.05,YES,YES,49.8,NO,34.2,NO
8037000.0,1.195291660654944e+25,1.26,YES,YES,16.2,YES,37.0,YES
6508000.0,6.345242737730848e+24,1.02,NO,NO,63.5,NO,26.5,NO
11570000.0,3.567283566261752e+25,1.81,NO,NO,50.0,NO,37.7,NO
